title,link,search_term,note,top_note,heart_note,base_note
"《尋香小站 》John Varvatos Artisan 工匠藤編男性香水 125ml 全新正品$1,350已售出 28新北市三重區找相似",https://shopee.tw/《尋香小站-》John-Varvatos-Artisan-工匠藤編男性香水-125ml-全新正品-i.6261367.1322799317?sp_atk=7e901a89-ba0d-4772-bd06-3c7c136c6bd2&xptdk=7e901a89-ba0d-4772-bd06-3c7c136c6bd2,John Varvatos,香調:柑橘芳香調,前味:法式柑橘、橘子、百里香、馬郁蘭,中味:橙花、薑,後味:木質香、琥珀、麝香
"John Varvatos Artisan Blu 工匠藤編 藍 男性淡香水 75ML / TESTER『WNP』$989 - $1,149已售出 4臺北市大同區找相似",https://shopee.tw/John-Varvatos-Artisan-Blu-工匠藤編-藍-男性淡香水-75ML-TESTER『WNP』-i.80228033.1359644950?sp_atk=87a8acdf-15a6-46c3-899f-3495cf984d8a&xptdk=87a8acdf-15a6-46c3-899f-3495cf984d8a,John Varvatos,,"前味:佛手柑,苦橙,薰衣草,羅勒葉","中味:鼠尾草,佛羅倫斯鳶尾花,橙花",後味:開心果樹
4.1折廣告【香水小樣37】香奈兒 （CHANCE ）邂逅 香水 粉色 柔情 女士 淡香 持久 濃留香 花果香醚2ML$136$56已售出 909桃園市大園區找相似,https://shopee.tw/【香水小樣37】香奈兒-（CHANCE-）邂逅-香水-粉色-柔情-女士-淡香-持久-濃留香-花果香醚2ML-i.166329119.10977919230?sp_atk=0fde7e6e-8662-4be4-b50a-52c3087bbb6c&xptdk=0fde7e6e-8662-4be4-b50a-52c3087bbb6c,John Varvatos,香調:花香果香調,前調:葡萄柚木梨,中調:茉莉風信子,後調:麝香鳶尾花雪松
"廣告❁💯免稅代購❁ B*yredo 百*瑞*德香水 拜里朵 無人區玫瑰 流浪者之歌 荒漠孤魂 雪松 中性清新 香水 持久香氛9折2 件 8.8折$2,588已售出 142桃園市桃園區找相似",https://shopee.tw/❁💯免稅代購❁-B*yredo-百*瑞*德香水-拜里朵-無人區玫瑰-流浪者之歌-荒漠孤魂-雪松-中性清新-香水-持久香氛-i.57452949.17531861232?sp_atk=547680eb-493d-4617-b0dd-5e84294fbe66&xptdk=547680eb-493d-4617-b0dd-5e84294fbe66,John Varvatos,香調:花果香調,前調:香檸檬小豆蔻黑加侖,中調:無花果紅蘋果提亞蕾花,後調:雪松果仁糖桃花
John Varvatos JV x NJ  尼克強納斯聯名款/赤紅聯名款/銀翼版 男性淡香水 試香$30 - $120已售出 15桃園市龜山區找相似,https://shopee.tw/John-Varvatos-JV-x-NJ-尼克強納斯聯名款-赤紅聯名款-銀翼版-男性淡香水-試香-i.5558081.6551950589?sp_atk=4a9547f3-a8f0-48a7-ac18-1eb815ea2939&xptdk=4a9547f3-a8f0-48a7-ac18-1eb815ea2939,John Varvatos,香調:木質清新調、柑橘調,前味:礦物、柑橘調、佛手柑、檸檬、綠葉,中味:鳶尾草、鵝卵石、鼠尾草、天竺葵,後味:廣藿香、麝香、檀木、木質元素、琥珀
波妮小舖♥️ John Varvatos Artisan Pure 工匠純淨 男性淡香水 125ml Tester$990新北市新店區找相似,https://shopee.tw/波妮小舖♥️-John-Varvatos-Artisan-Pure-工匠純淨-男性淡香水-125ml-Tester-i.298950974.6679587678?sp_atk=d1800035-43f9-421d-be5e-52f5b1682810&xptdk=d1800035-43f9-421d-be5e-52f5b1682810,John Varvatos,,商品規格分類蝦皮購物美妝保健香水、香氛精油、試管小香與其他品牌johnvarvatos性別男性香水濃度EDT、淡香水商品數量40出貨地新北市新店區商品詳情前味:西班牙檸檬、晚侖夏橙、佛手柑、苦橙葉,中味:橙子花、咖啡樹花、茉莉花、鳶尾草、香菜子、小荳蔻,後味:雪松、白桃花心木、白芷、麝香黃葵籽、香豆
"John Varvatos 工匠系列小香水禮盒  15ml*4$2,300新北市板橋區找相似",https://shopee.tw/John-Varvatos-工匠系列小香水禮盒-15ml*4-i.6965461.17579234906?sp_atk=5caa50ce-ca9f-4295-889b-885781e036ca&xptdk=5caa50ce-ca9f-4295-889b-885781e036ca,John Varvatos,香調:柑橘清新調,前味:佛手柑、苦橙、薰衣草,中味:法國鼠尾草、佛羅倫斯鳶尾花、橙花,後味:開心果樹
((試香)) John Varvatos DARK REBEL 龐克騎士男性淡香水 分裝$50 - $220已售出 13臺中市豐原區找相似,https://shopee.tw/((試香))-John-Varvatos-DARK-REBEL-龐克騎士男性淡香水-分裝-i.224023342.7157321875?sp_atk=e5bd1969-05d2-48a3-901f-0c0107b5b82e&xptdk=e5bd1969-05d2-48a3-901f-0c0107b5b82e,John Varvatos,,前味:波旁威士忌、印蒿油、快樂鼠尾草、錫蘭荳蔻精油,中味:異國龍骨花、黑色皮革、黑胡椒、肉荳蔻、蘇合香脂,後味:墨西哥香草豆、焦松、海貍香、白塞木、煙草夜
"蝦皮優選☆MOMO小屋☆ John Varvatos Artisan 工匠藤編 男性香水 75ml$1,149已售出 3臺北市萬華區找相似",https://shopee.tw/☆MOMO小屋☆-John-Varvatos-Artisan-工匠藤編-男性香水-75ml-i.2919063.7203168?sp_atk=8e0dadbc-1210-44e7-825f-fc527a314289&xptdk=8e0dadbc-1210-44e7-825f-fc527a314289,John Varvatos,香調:柑橘芳香調,前味:法式柑橘、橘子、百里香、馬郁蘭,中味:橙花、薑,後味:木質香、琥珀、麝香
"John Varvatos Artisan 工匠藤編男性淡香水 125ml$1,499新北市三重區找相似",https://shopee.tw/John-Varvatos-Artisan-工匠藤編男性淡香水-125ml-i.12352615.1466685391?sp_atk=fac7db71-1064-449e-8ea7-d930cca96749&xptdk=fac7db71-1064-449e-8ea7-d930cca96749,John Varvatos,,前味:法式柑橘、橘子、百里香、馬郁蘭,中味:橙花、薑,後味:木質香、琥珀、麝香
"【🧸 曈樺屋-現貨區】John Varvatos Artisan 工匠純淨 男性淡香水$1,180雲林縣口湖鄉找相似",https://shopee.tw/【🧸-曈樺屋-現貨區】John-Varvatos-Artisan-工匠純淨-男性淡香水-i.577286072.11769558080?sp_atk=bb092a9a-c35c-4d2f-9f46-97d9fb8234e2&xptdk=bb092a9a-c35c-4d2f-9f46-97d9fb8234e2,John Varvatos,香調:,前味:西班牙檸檬、晚侖夏橙、佛手柑、,中味:橙子花、咖啡樹花、茉莉花、鳶尾,後味:雪松、白桃花心木、白芷、麝香黃
"蝦皮優選John Varvatos Artisan 工匠藤編男性淡香水75ml/125ml$1,080 - $1,380已售出 1新北市林口區找相似",https://shopee.tw/John-Varvatos-Artisan-工匠藤編男性淡香水75ml-125ml-i.243811.52633343?sp_atk=ad410c36-7d60-4640-80d1-ffafa13f6d7a&xptdk=ad410c36-7d60-4640-80d1-ffafa13f6d7a,John Varvatos,,前味:法式柑橘、橘子、百里香、馬郁蘭,中味:橙花、薑,後味:木質香、琥珀、麝香
